"PrimaryID","ENSEMBL","SYMBOL","ENTREZID","REFSEQ","GENENAME"
"ENSG00000000003","ENSG00000000003","TSPAN6","7105","NM_001278740","tetraspanin 6"
"ENSG00000000419","ENSG00000000419","DPM1","8813","NM_001317034","dolichyl-phosphate mannosyltransferase subunit 1, catalytic"
"ENSG00000000457","ENSG00000000457","SCYL3","57147","NM_020423","SCY1 like pseudokinase 3"
"ENSG00000000460","ENSG00000000460","C1orf112","55732","NM_001320047","chromosome 1 open reading frame 112"
"ENSG00000000938","ENSG00000000938","FGR","2268","NM_001042729","FGR proto-oncogene, Src family tyrosine kinase"
"ENSG00000000971","ENSG00000000971","CFH","3075","NM_000186","complement factor H"
"ENSG00000001036","ENSG00000001036","FUCA2","2519","NM_032020","alpha-L-fucosidase 2"
"ENSG00000001084","ENSG00000001084","GCLC","2729","NM_001197115","glutamate-cysteine ligase catalytic subunit"
"ENSG00000001167","ENSG00000001167","NFYA","4800","NM_002505","nuclear transcription factor Y subunit alpha"
"ENSG00000001460","ENSG00000001460","STPG1","90529","NM_001199012","sperm tail PG-rich repeat containing 1"
"ENSG00000001461","ENSG00000001461","NIPAL3","57185","NM_001322854","NIPA like domain containing 3"
"ENSG00000001497","ENSG00000001497","LAS1L","81887","NM_001170649","LAS1 like ribosome biogenesis factor"
"ENSG00000001561","ENSG00000001561","ENPP4","22875","NM_014936","ectonucleotide pyrophosphatase/phosphodiesterase 4"
"ENSG00000001617","ENSG00000001617","SEMA3F","6405","NM_001318798","semaphorin 3F"
"ENSG00000001629","ENSG00000001629","ANKIB1","54467","NM_019004","ankyrin repeat and IBR domain containing 1"
"ENSG00000001631","ENSG00000001631","KRIT1","889","NM_001013406","KRIT1 ankyrin repeat containing"
"ENSG00000002016","ENSG00000002016","RAD52","5893","NM_001297419","RAD52 homolog, DNA repair protein"
"ENSG00000002330","ENSG00000002330","BAD","572","NM_004322","BCL2 associated agonist of cell death"
"ENSG00000002549","ENSG00000002549","LAP3","51056","NM_015907","leucine aminopeptidase 3"
"ENSG00000002587","ENSG00000002587","HS3ST1","9957","NM_005114","heparan sulfate-glucosamine 3-sulfotransferase 1"
"ENSG00000002726","ENSG00000002726","AOC1","26","NM_001091","amine oxidase copper containing 1"
"ENSG00000002745","ENSG00000002745","WNT16","51384","NM_016087","Wnt family member 16"
"ENSG00000002822","ENSG00000002822","MAD1L1","8379","NM_001013836","mitotic arrest deficient 1 like 1"
"ENSG00000002834","ENSG00000002834","LASP1","3927","NM_001271608","LIM and SH3 protein 1"
"ENSG00000002919","ENSG00000002919","SNX11","29916","NM_001330320","sorting nexin 11"
"ENSG00000002933","ENSG00000002933","TMEM176A","55365","NM_018487","transmembrane protein 176A"
"ENSG00000003056","ENSG00000003056","M6PR","4074","NM_001207024","mannose-6-phosphate receptor, cation dependent"
"ENSG00000003096","ENSG00000003096","KLHL13","90293","NM_001168299","kelch like family member 13"
"ENSG00000003137","ENSG00000003137","CYP26B1","56603","NM_001277742","cytochrome P450 family 26 subfamily B member 1"
"ENSG00000003147","ENSG00000003147","ICA1","3382","NM_001136020","islet cell autoantigen 1"
"ENSG00000003249","ENSG00000003249","DBNDD1","79007","NM_001042610","dysbindin domain containing 1"
"ENSG00000003393","ENSG00000003393","ALS2","57679","NM_001135745","alsin Rho guanine nucleotide exchange factor ALS2"
"ENSG00000003400","ENSG00000003400","CASP10","843","NM_001206524","caspase 10"
"ENSG00000003402","ENSG00000003402","CFLAR","8837","NM_001127183","CASP8 and FADD like apoptosis regulator"
"ENSG00000003436","ENSG00000003436","TFPI","7035","NM_001032281","tissue factor pathway inhibitor"
"ENSG00000003509","ENSG00000003509","NDUFAF7","55471","NM_001083946","NADH:ubiquinone oxidoreductase complex assembly factor 7"
"ENSG00000003756","ENSG00000003756","RBM5","10181","NM_005778","RNA binding motif protein 5"
"ENSG00000003987","ENSG00000003987","MTMR7","9108","NM_004686","myotubularin related protein 7"
"ENSG00000004059","ENSG00000004059","ARF5","381","NM_001662","ADP ribosylation factor 5"
"ENSG00000004139","ENSG00000004139","SARM1","23098","NM_015077","sterile alpha and TIR motif containing 1"
"ENSG00000004142","ENSG00000004142","POLDIP2","26073","NM_001290145","DNA polymerase delta interacting protein 2"
"ENSG00000004399","ENSG00000004399","PLXND1","23129","NM_015103","plexin D1"
"ENSG00000004455","ENSG00000004455","AK2","204","NM_001199199","adenylate kinase 2"
"ENSG00000004468","ENSG00000004468","CD38","952","NM_001775","CD38 molecule"
"ENSG00000004478","ENSG00000004478","FKBP4","2288","NM_002014","FKBP prolyl isomerase 4"
"ENSG00000004487","ENSG00000004487","KDM1A","23028","NM_001009999","lysine demethylase 1A"
"ENSG00000004534","ENSG00000004534","RBM6","10180","NM_001167582","RNA binding motif protein 6"
"ENSG00000004660","ENSG00000004660","CAMKK1","84254","NM_032294","calcium/calmodulin dependent protein kinase kinase 1"
"ENSG00000004700","ENSG00000004700","RECQL","5965","NM_002907","RecQ like helicase"
"ENSG00000004766","ENSG00000004766","VPS50","55610","NM_001257998","VPS50 subunit of EARP/GARPII complex"
"ENSG00000004777","ENSG00000004777","ARHGAP33","115703","NM_001172630","Rho GTPase activating protein 33"
"ENSG00000004779","ENSG00000004779","NDUFAB1","4706","NM_005003","NADH:ubiquinone oxidoreductase subunit AB1"
"ENSG00000004799","ENSG00000004799","PDK4","5166","NM_002612","pyruvate dehydrogenase kinase 4"
"ENSG00000004809","ENSG00000004809","SLC22A16","85413","NM_033125","solute carrier family 22 member 16"
"ENSG00000004838","ENSG00000004838","ZMYND10","51364","NM_001308379","zinc finger MYND-type containing 10"
"ENSG00000004864","ENSG00000004864","SLC25A13","10165","NM_001160210","solute carrier family 25 member 13"
"ENSG00000004866","ENSG00000004866","ST7","7982","NM_001369598","suppression of tumorigenicity 7"
"ENSG00000004897","ENSG00000004897","CDC27","996","NM_001114091","cell division cycle 27"
"ENSG00000004939","ENSG00000004939","SLC4A1","6521","NM_000342","solute carrier family 4 member 1 (Diego blood group)"
"ENSG00000004961","ENSG00000004961","HCCS","3052","NM_001122608","holocytochrome c synthase"
"ENSG00000004975","ENSG00000004975","DVL2","1856","NM_004422","dishevelled segment polarity protein 2"
"ENSG00000005001","ENSG00000005001","PRSS22","64063","NM_022119","serine protease 22"
"ENSG00000005007","ENSG00000005007","UPF1","5976","NM_001297549","UPF1 RNA helicase and ATPase"
"ENSG00000005020","ENSG00000005020","SKAP2","8935","NM_001303468","src kinase associated phosphoprotein 2"
"ENSG00000005022","ENSG00000005022","SLC25A5","292","NM_001152","solute carrier family 25 member 5"
"ENSG00000005059","ENSG00000005059","MCUB","55013","NM_017918","mitochondrial calcium uniporter dominant negative beta subunit"
"ENSG00000005075","ENSG00000005075","POLR2J","5439","NM_001371100","RNA polymerase II subunit J"
"ENSG00000005100","ENSG00000005100","DHX33","56919","NM_001199699","DEAH-box helicase 33"
"ENSG00000005102","ENSG00000005102","MEOX1","4222","NM_001040002","mesenchyme homeobox 1"
"ENSG00000005108","ENSG00000005108","THSD7A","221981","NM_015204","thrombospondin type 1 domain containing 7A"
"ENSG00000005156","ENSG00000005156","LIG3","3980","NM_002311","DNA ligase 3"
"ENSG00000005175","ENSG00000005175","RPAP3","79657","NM_001146075","RNA polymerase II associated protein 3"
"ENSG00000005187","ENSG00000005187","ACSM3","6296","NM_005622","acyl-CoA synthetase medium chain family member 3"
"ENSG00000005189","ENSG00000005189","REXO5","81691","NM_001144924","RNA exonuclease 5"
"ENSG00000005194","ENSG00000005194","CIAPIN1","57019","NM_001308347","cytokine induced apoptosis inhibitor 1"
"ENSG00000005206","ENSG00000005206","SPPL2B","56928","NM_001077238","signal peptide peptidase like 2B"
"ENSG00000005238","ENSG00000005238","FAM214B","80256","NM_001317991","family with sequence similarity 214 member B"
"ENSG00000005243","ENSG00000005243","COPZ2","51226","NM_016429","coatomer protein complex subunit zeta 2"
"ENSG00000005249","ENSG00000005249","PRKAR2B","5577","NM_002736","protein kinase cAMP-dependent type II regulatory subunit beta"
"ENSG00000005302","ENSG00000005302","MSL3","10943","NM_001193270","MSL complex subunit 3"
"ENSG00000005339","ENSG00000005339","CREBBP","1387","NM_001079846","CREB binding protein"
"ENSG00000005379","ENSG00000005379","TSPOAP1","9256","NM_001261835","TSPO associated protein 1"
"ENSG00000005381","ENSG00000005381","MPO","4353","NM_000250","myeloperoxidase"
"ENSG00000005436","ENSG00000005436","GCFC2","6936","NM_001201334","GC-rich sequence DNA-binding factor 2"
"ENSG00000005448","ENSG00000005448","WDR54","84058","NM_001320823","WD repeat domain 54"
"ENSG00000005469","ENSG00000005469","CROT","54677","NM_001143935","carnitine O-octanoyltransferase"
"ENSG00000005471","ENSG00000005471","ABCB4","5244","NM_000443","ATP binding cassette subfamily B member 4"
"ENSG00000005483","ENSG00000005483","KMT2E","55904","NM_018682","lysine methyltransferase 2E"
"ENSG00000005486","ENSG00000005486","RHBDD2","57414","NM_001040456","rhomboid domain containing 2"
"ENSG00000005513","ENSG00000005513","SOX8","30812","NM_014587","SRY-box transcription factor 8"
"ENSG00000005700","ENSG00000005700","IBTK","25998","NM_001300906","inhibitor of Bruton tyrosine kinase"
"ENSG00000005801","ENSG00000005801","ZNF195","7748","NM_001130519","zinc finger protein 195"
"ENSG00000005810","ENSG00000005810","MYCBP2","23077","NM_015057","MYC binding protein 2"
"ENSG00000005812","ENSG00000005812","FBXL3","26224","NM_012158","F-box and leucine rich repeat protein 3"
"ENSG00000005844","ENSG00000005844","ITGAL","3683","NM_001114380","integrin subunit alpha L"
"ENSG00000005882","ENSG00000005882","PDK2","5164","NM_001199898","pyruvate dehydrogenase kinase 2"
"ENSG00000005884","ENSG00000005884","ITGA3","3675","NM_002204","integrin subunit alpha 3"
"ENSG00000005889","ENSG00000005889","ZFX","7543","NM_001178084","zinc finger protein X-linked"
"ENSG00000005893","ENSG00000005893","LAMP2","3920","NM_001122606","lysosomal associated membrane protein 2"
"ENSG00000005961","ENSG00000005961","ITGA2B","3674","NM_000419","integrin subunit alpha 2b"
"ENSG00000006007","ENSG00000006007","GDE1","51573","NM_001324066","glycerophosphodiester phosphodiesterase 1"
"ENSG00000006015","ENSG00000006015","REX1BD","55049","NM_001100418","required for excision 1-B domain containing"
"ENSG00000006016","ENSG00000006016","CRLF1","9244","NM_004750","cytokine receptor like factor 1"
"ENSG00000006025","ENSG00000006025","OSBPL7","114881","NM_017731","oxysterol binding protein like 7"
"ENSG00000006042","ENSG00000006042","TMEM98","26022","NM_001033504","transmembrane protein 98"
"ENSG00000006062","ENSG00000006062","MAP3K14","9020","NM_003954","mitogen-activated protein kinase kinase kinase 14"
"ENSG00000006118","ENSG00000006118","TMEM132A","54972","NM_017870","transmembrane protein 132A"
"ENSG00000006125","ENSG00000006125","AP2B1","163","NM_001030006","adaptor related protein complex 2 subunit beta 1"
"ENSG00000006194","ENSG00000006194","ZNF263","10127","NM_005741","zinc finger protein 263"
"ENSG00000006282","ENSG00000006282","SPATA20","64847","NM_001258372","spermatogenesis associated 20"
"ENSG00000006327","ENSG00000006327","TNFRSF12A","51330","NM_016639","TNF receptor superfamily member 12A"
"ENSG00000006432","ENSG00000006432","MAP3K9","4293","NM_001284230","mitogen-activated protein kinase kinase kinase 9"
"ENSG00000006451","ENSG00000006451","RALA","5898","NM_005402","RAS like proto-oncogene A"
"ENSG00000006453","ENSG00000006453","BAIAP2L1","55971","NM_018842","BAR/IMD domain containing adaptor protein 2 like 1"
"ENSG00000006459","ENSG00000006459","KDM7A","80853","NM_030647","lysine demethylase 7A"
"ENSG00000006468","ENSG00000006468","ETV1","2115","NM_001163147","ETS variant transcription factor 1"
"ENSG00000006530","ENSG00000006530","AGK","55750","NM_001364948","acylglycerol kinase"
"ENSG00000006534","ENSG00000006534","ALDH3B1","221","NM_000694","aldehyde dehydrogenase 3 family member B1"
"ENSG00000006555","ENSG00000006555","TTC22","55001","NM_001114108","tetratricopeptide repeat domain 22"
"ENSG00000006576","ENSG00000006576","PHTF2","57157","NM_001127357","putative homeodomain transcription factor 2"
"ENSG00000006607","ENSG00000006607","FARP2","9855","NM_001282983","FERM, ARH/RhoGEF and pleckstrin domain protein 2"
"ENSG00000006625","ENSG00000006625","GGCT","79017","NM_001199815","gamma-glutamylcyclotransferase"
"ENSG00000006634","ENSG00000006634","DBF4","10926","NM_001318060","DBF4 zinc finger"
"ENSG00000006638","ENSG00000006638","TBXA2R","6915","NM_001060","thromboxane A2 receptor"
"ENSG00000006652","ENSG00000006652","IFRD1","3475","NM_001007245","interferon related developmental regulator 1"
"ENSG00000006695","ENSG00000006695","COX10","1352","NM_001303","cytochrome c oxidase assembly factor heme A:farnesyltransferase COX10"
"ENSG00000006704","ENSG00000006704","GTF2IRD1","9569","NM_001199207","GTF2I repeat domain containing 1"
"ENSG00000006712","ENSG00000006712","PAF1","54623","NM_001256826","PAF1 homolog, Paf1/RNA polymerase II complex component"
"ENSG00000006715","ENSG00000006715","VPS41","27072","NM_014396","VPS41 subunit of HOPS complex"
"ENSG00000006740","ENSG00000006740","ARHGAP44","9912","NM_001321164","Rho GTPase activating protein 44"
"ENSG00000006744","ENSG00000006744","ELAC2","60528","NM_001165962","elaC ribonuclease Z 2"
"ENSG00000006747","ENSG00000006747","SCIN","85477","NM_001112706","scinderin"
"ENSG00000006756","ENSG00000006756","ARSD","414","NM_001669","arylsulfatase D"
"ENSG00000006757","ENSG00000006757","PNPLA4","8228","NM_001142389","patatin like phospholipase domain containing 4"
"ENSG00000006831","ENSG00000006831","ADIPOR2","79602","NM_024551","adiponectin receptor 2"
"ENSG00000006837","ENSG00000006837","CDKL3","51265","NM_001113575","cyclin dependent kinase like 3"
"ENSG00000007001","ENSG00000007001","UPP2","151531","NM_001135098","uridine phosphorylase 2"
"ENSG00000007038","ENSG00000007038","PRSS21","10942","NM_001270452","serine protease 21"
"ENSG00000007047","ENSG00000007047","MARK4","57787","NM_001199867","microtubule affinity regulating kinase 4"
"ENSG00000007062","ENSG00000007062","PROM1","8842","NM_001145847","prominin 1"
"ENSG00000007080","ENSG00000007080","CCDC124","115098","NM_001136203","coiled-coil domain containing 124"
"ENSG00000007129","ENSG00000007129","CEACAM21","90273","NM_001098506","CEA cell adhesion molecule 21"
"ENSG00000007168","ENSG00000007168","PAFAH1B1","5048","NM_000430","platelet activating factor acetylhydrolase 1b regulatory subunit 1"
"ENSG00000007171","ENSG00000007171","NOS2","4843","NM_000625","nitric oxide synthase 2"
"ENSG00000007202","ENSG00000007202","KIAA0100","9703","NM_001321560","KIAA0100"
"ENSG00000007237","ENSG00000007237","GAS7","8522","NM_001130831","growth arrest specific 7"
"ENSG00000007255","ENSG00000007255","TRAPPC6A","79090","NM_001270891","trafficking protein particle complex 6A"
"ENSG00000007264","ENSG00000007264","MATK","4145","NM_002378","megakaryocyte-associated tyrosine kinase"
"ENSG00000007306","ENSG00000007306","CEACAM7","1087","NM_001291485","CEA cell adhesion molecule 7"
"ENSG00000007312","ENSG00000007312","CD79B","974","NM_000626","CD79b molecule"
"ENSG00000007314","ENSG00000007314","SCN4A","6329","NM_000334","sodium voltage-gated channel alpha subunit 4"
"ENSG00000007341","ENSG00000007341","ST7L","54879","NM_001308264","suppression of tumorigenicity 7 like"
"ENSG00000007350","ENSG00000007350","TKTL1","8277","NM_001145933","transketolase like 1"
"ENSG00000007372","ENSG00000007372","PAX6","5080","NM_000280","paired box 6"
"ENSG00000007376","ENSG00000007376","RPUSD1","113000","NM_001324086","RNA pseudouridine synthase domain containing 1"
"ENSG00000007392","ENSG00000007392","LUC7L","55692","NM_001320226","LUC7 like"
"ENSG00000007402","ENSG00000007402","CACNA2D2","9254","NM_001005505","calcium voltage-gated channel auxiliary subunit alpha2delta 2"
"ENSG00000007516","ENSG00000007516","BAIAP3","8938","NM_001199096","BAI1 associated protein 3"
"ENSG00000007520","ENSG00000007520","TSR3","115939","NM_001001410","TSR3 ribosome maturation factor"
